"구","동","계약년월","p1","p2"
"강남구","개포동","202401",194239.130434783,10058.0749374552
"강남구","개포동","202402",190761.111111111,10096.8531461146
"강남구","개포동","202403",208900.4,9799.08838685817
"강남구","개포동","202404",224812.5,9906.15622428681
"강남구","개포동","202405",214123.58490566,9943.27215314801
"강남구","개포동","202406",219669.339622642,10365.1422058556
"강남구","개포동","202407",237847.010989011,10461.4011200555
"강남구","개포동","202408",245303.342857143,10607.2460236135
"강남구","개포동","202409",182642.315789474,10089.4758716532
"강남구","개포동","202410",201618.772727273,10967.9649172231
"강남구","개포동","202411",232733.5,10819.7002488248
"강남구","개포동","202412",235375.466666667,10675.9307273956
"강남구","개포동","202501",246191.393939394,11158.9640909061
"강남구","개포동","202502",242955.858585859,11521.4871420389
"강남구","개포동","202503",250966.5,11616.6486294091
"강남구","개포동","202504",345285.714285714,12083.2795465971
"강남구","개포동","202505",280362.068965517,12616.6161045639
"강남구","개포동","202506",310795.073170732,13077.4633025221
"강남구","개포동","202507",299250,13822.4731706808
"강남구","논현동","202401",227110.7,9343.33263620334
"강남구","논현동","202402",179125,4954.70342570814
"강남구","논현동","202403",152464.285714286,5569.28104679674
"강남구","논현동","202404",142786.363636364,5442.6271236272
"강남구","논현동","202405",156833.333333333,6388.84684410448
"강남구","논현동","202406",123706.25,5450.50249841402
"강남구","논현동","202407",165507.407407407,6975.84610063628
"강남구","논현동","202408",184956.25,7285.85900964915
"강남구","논현동","202409",201388.777777778,6995.0329184757
"강남구","논현동","202410",136969.230769231,6435.36104743277
"강남구","논현동","202411",166350,6714.62300781188
"강남구","논현동","202412",203736.363636364,7226.47924922111
"강남구","논현동","202501",160688.888888889,6102.58948042045
"강남구","논현동","202502",197893.333333333,7753.97797039312
"강남구","논현동","202503",166585.365853659,7124.56816746914
"강남구","논현동","202504",148166.666666667,7061.35996266373
"강남구","논현동","202505",178375,6976.55848085045
"강남구","논현동","202506",203869.565217391,7254.83229677224
"강남구","논현동","202507",260000,10103.6269430052
"강남구","대치동","202401",295520.833333333,9138.04465890414
"강남구","대치동","202402",274705.263157895,9028.48278528201
"강남구","대치동","202403",312692.307692308,10109.0717467782
"강남구","대치동","202404",302269.230769231,10237.2476679277
"강남구","대치동","202405",294004.761904762,9670.71052370057
"강남구","대치동","202406",317798.936170213,9960.21102763119
"강남구","대치동","202407",307072.580645161,9865.83305155817
"강남구","대치동","202408",324605.357142857,9991.6577905481
"강남구","대치동","202409",295995.652173913,10195.5966867766
"강남구","대치동","202410",337638.636363636,11087.6221275507
"강남구","대치동","202411",353227.272727273,11585.5495663877
"강남구","대치동","202412",373723.076923077,11161.5670523101
"강남구","대치동","202501",357196.153846154,10845.9305829409
"강남구","대치동","202502",340007.8125,11171.2847670823
"강남구","대치동","202503",341720.826446281,11326.1337517249
"강남구","대치동","202504",357550,11787.1791280185
"강남구","대치동","202505",370432.432432432,12051.6487841655
"강남구","대치동","202506",396530.612244898,12572.527479763
"강남구","대치동","202507",306000,12720.7918050941
