"구","동","단지명","ym","p1","p2"
"강남구","개포동","개포2차현대아파트(220)","2024 년 07 월",189000,8021.86495176849
"강남구","개포동","개포2차현대아파트(220)","2025 년 01 월",182000,7724.75884244373
"강남구","개포동","개포2차현대아파트(220)","2025 년 02 월",136500,5793.5691318328
"강남구","개포동","개포2차현대아파트(220)","2025 년 03 월",199000,8446.30225080386
"강남구","개포동","개포2차현대아파트(220)","2025 년 06 월",203000,8616.07717041801
"강남구","개포동","개포6차우성아파트1동~8동","2024 년 10 월",189000,11344.1251364132
"강남구","개포동","개포6차우성아파트1동~8동","2024 년 11 월",207000,8541.95323246217
"강남구","개포동","개포6차우성아파트1동~8동","2024 년 12 월",208500,8603.85144429161
"강남구","개포동","개포6차우성아파트1동~8동","2025 년 01 월",196500,9638.07966706302
"강남구","개포동","개포6차우성아파트1동~8동","2025 년 02 월",218250,9006.18982118294
"강남구","개포동","개포6차우성아파트1동~8동","2025 년 03 월",220000,9895.6484796543
"강남구","개포동","개포6차우성아파트1동~8동","2025 년 05 월",194000,11644.2342670062
"강남구","개포동","개포더샵트리에","2024 년 01 월",223000,6808.07051011034
"강남구","개포동","개포더샵트리에","2024 년 03 월",243000,7485.13054874156
"강남구","개포동","개포더샵트리에","2024 년 05 월",231666.666666667,7173.79409939651
"강남구","개포동","개포더샵트리에","2024 년 06 월",239500,7386.9218250217
"강남구","개포동","개포더샵트리에","2024 년 11 월",266500,8136.10220154442
"강남구","개포동","개포더샵트리에","2025 년 02 월",272000,8323.319565026
"강남구","개포동","개포더샵트리에","2025 년 03 월",271666.666666667,8351.72004677168
"강남구","개포동","개포더샵트리에","2025 년 06 월",280500,8654.62536077124
"강남구","개포동","개포래미안포레스트","2024 년 01 월",203500,10007.971874097
"강남구","개포동","개포래미안포레스트","2024 년 02 월",262000,10206.7180333282
"강남구","개포동","개포래미안포레스트","2024 년 03 월",201155.555555556,10087.4555942985
"강남구","개포동","개포래미안포레스트","2024 년 04 월",267928.571428571,10319.9667056347
"강남구","개포동","개포래미안포레스트","2024 년 05 월",253833.333333333,10072.5844201872
"강남구","개포동","개포래미안포레스트","2024 년 06 월",219858.823529412,10743.5179144477
"강남구","개포동","개포래미안포레스트","2024 년 07 월",242575,11369.8828636371
"강남구","개포동","개포래미안포레스트","2024 년 08 월",247777.777777778,12015.1052564158
"강남구","개포동","개포래미안포레스트","2024 년 09 월",274600,11673.4163004016
"강남구","개포동","개포래미안포레스트","2024 년 10 월",245000,12316.8225482435
"강남구","개포동","개포래미안포레스트","2024 년 11 월",250666.666666667,12224.7370228185
"강남구","개포동","개포래미안포레스트","2024 년 12 월",240000,13217.6234979973
"강남구","개포동","개포래미안포레스트","2025 년 01 월",260950,11599.9358599172
"강남구","개포동","개포래미안포레스트","2025 년 02 월",277166.666666667,11822.6534076454
"강남구","개포동","개포래미안포레스트","2025 년 03 월",267333.333333333,12253.7568192984
"강남구","개포동","개포래미안포레스트","2025 년 05 월",286346.153846154,13000.6333120045
"강남구","개포동","개포래미안포레스트","2025 년 06 월",278027.272727273,13396.5089616162
"강남구","개포동","개포우성3차","2024 년 06 월",275750,7271.35698353796
"강남구","개포동","개포우성3차","2024 년 07 월",285357.142857143,7333.11066476474
"강남구","개포동","개포우성3차","2024 년 08 월",298500,7495.12232331325
"강남구","개포동","개포우성3차","2024 년 09 월",251700,7953.74892272335
"강남구","개포동","개포우성3차","2024 년 10 월",309500,7652.85478795144
"강남구","개포동","개포우성3차","2025 년 02 월",263000,8310.8302212008
"강남구","개포동","개포우성3차","2025 년 03 월",315500,8346.63493128643
"강남구","개포동","개포우성3차","2025 년 05 월",284000,8974.43263430049
"강남구","개포동","개포우성3차","2025 년 06 월",400000,8198.75776397515
"강남구","개포동","개포자이","2024 년 06 월",273000,6708.11615785555
"강남구","개포동","개포자이","2025 년 03 월",232500,5712.95606850335
"강남구","개포동","개포자이르네","2024 년 04 월",232000,6711.07994389902
"강남구","개포동","개포자이르네","2024 년 08 월",118000,7655.33307776238
"강남구","개포동","개포자이르네","2025 년 01 월",134000,7276.90413970603
"강남구","개포동","개포자이르네","2025 년 02 월",113000,7330.95455751821
"강남구","개포동","개포자이르네","2025 년 03 월",230000,7373.55661900571
"강남구","개포동","개포자이프레지던스","2024 년 01 월",216000,11883.9613204401
"강남구","개포동","개포자이프레지던스","2025 년 02 월",263000,14504.5733108498
"강남구","개포동","개포자이프레지던스","2025 년 03 월",243000,11878.4807112619
"강남구","개포동","개포자이프레지던스","2025 년 04 월",339000,14108.0753119106
"강남구","개포동","개포자이프레지던스","2025 년 05 월",324400,14465.3844674304
"강남구","개포동","개포자이프레지던스","2025 년 06 월",361928.571428571,15197.4457213368
"강남구","개포동","개포자이프레지던스","2025 년 07 월",366000,15332.3338584596
"강남구","개포동","개포주공5단지","2024 년 01 월",215000,13143.7569470174
"강남구","개포동","개포주공5단지","2024 년 03 월",248000,11022.2222222222
"강남구","개포동","개포주공5단지","2024 년 04 월",258500,10833.4709363686
"강남구","개포동","개포주공5단지","2024 년 05 월",272000,10792.3530119033
"강남구","개포동","개포주공5단지","2024 년 06 월",219000,10835.0297669019
"강남구","개포동","개포주공5단지","2024 년 07 월",256375,11955.9166180608
"강남구","개포동","개포주공5단지","2024 년 08 월",248833.333333333,12849.9763720198
"강남구","개포동","개포주공5단지","2024 년 09 월",240375,13535.1189741056
"강남구","개포동","개포주공5단지","2024 년 10 월",263821.428571429,13170.7150713081
"강남구","개포동","개포주공5단지","2024 년 11 월",306000,13203.1742214741
"강남구","개포동","개포주공5단지","2025 년 01 월",268500,13994.4629698242
"강남구","개포동","개포주공5단지","2025 년 02 월",299250,13558.907351638
"강남구","개포동","개포주공5단지","2025 년 03 월",328692.307692308,14138.9780373755
"강남구","개포동","개포주공5단지","2025 년 04 월",280000,15100.5066187286
"강남구","개포동","개포주공5단지","2025 년 05 월",285333.333333333,15679.9939620984
"강남구","개포동","개포주공5단지","2025 년 06 월",330107.142857143,15715.4558294749
"강남구","개포동","개포주공6단지","2024 년 02 월",219277.777777778,10508.4018755327
"강남구","개포동","개포주공6단지","2024 년 03 월",218666.666666667,10684.0512786195
"강남구","개포동","개포주공6단지","2024 년 04 월",196333.333333333,10161.4146251095
"강남구","개포동","개포주공6단지","2024 년 05 월",236000,10665.5710764174
"강남구","개포동","개포주공6단지","2024 년 06 월",246250,10841.0873526617
"강남구","개포동","개포주공6단지","2024 년 07 월",258000,11659.8192276089
"강남구","개포동","개포주공6단지","2024 년 08 월",265175,11800.6431729716
"강남구","개포동","개포주공6단지","2024 년 09 월",232000,14428.9483603468
"강남구","개포동","개포주공6단지","2024 년 10 월",250000,13720.2727423915
"강남구","개포동","개포주공6단지","2024 년 11 월",234500,14584.4327176781
"강남구","개포동","개포주공6단지","2025 년 01 월",255000,13994.6781972393
"강남구","개포동","개포주공6단지","2025 년 02 월",288000,13661.9867410994
"강남구","개포동","개포주공6단지","2025 년 03 월",290000,14475.6478563019
"강남구","개포동","개포주공6단지","2025 년 04 월",329000,13047.7106117053
"강남구","개포동","개포주공6단지","2025 년 05 월",323250,14385.0770617146
"강남구","개포동","개포주공7단지","2024 년 01 월",180000,11111.1111111111
"강남구","개포동","개포주공7단지","2024 년 02 월",213750,10303.0508564303
"강남구","개포동","개포주공7단지","2024 년 03 월",202500,10701.8628239826
"강남구","개포동","개포주공7단지","2024 년 05 월",239500,10788.2882882883
"강남구","개포동","개포주공7단지","2024 년 06 월",209500,11570.9353746988
"강남구","개포동","개포주공7단지","2024 년 07 월",237666.666666667,10965.1994544468
"강남구","개포동","개포주공7단지","2024 년 08 월",272000,11712.8741644871
"강남구","개포동","개포주공7단지","2024 년 09 월",261000,12766.2814229635
"강남구","개포동","개포주공7단지","2024 년 10 월",236000,12746.5817071552
"강남구","개포동","개포주공7단지","2024 년 11 월",240000,14814.8148148148
"강남구","개포동","개포주공7단지","2025 년 01 월",261500,13781.2812812813
"강남구","개포동","개포주공7단지","2025 년 02 월",270333.333333333,14155.5962003991
"강남구","개포동","개포주공7단지","2025 년 03 월",306785.714285714,14021.1010173156
"강남구","개포동","개포주공7단지","2025 년 06 월",326800,15705.038371705
"강남구","개포동","개포현대200동","2025 년 02 월",205000,8229.92700729927
"강남구","개포동","개포현대200동","2025 년 03 월",208000,8350.36496350365
"강남구","개포동","경남1","2024 년 02 월",305000,8164.34133679429
"강남구","개포동","경남1","2024 년 04 월",239500,8747.15339420718
"강남구","개포동","경남1","2024 년 05 월",280000,9024.9780238493
"강남구","개포동","경남1","2024 년 06 월",308000,8244.64633354964
"강남구","개포동","경남1","2024 년 07 월",249500,9732.2695035461
"강남구","개포동","경남1","2024 년 08 월",260000,10141.8439716312
"강남구","개포동","경남1","2024 년 09 월",322000,8619.40298507463
"강남구","개포동","경남1","2025 년 01 월",266500,9068.36461126005
"강남구","개포동","경남1","2025 년 05 월",325000,8699.70798182998
"강남구","개포동","경남1","2025 년 06 월",395000,9114.80364822358
"강남구","개포동","경남2차","2024 년 01 월",340000,6158.06805708013
"강남구","개포동","경남2차","2024 년 03 월",370000,6701.42700329308
"강남구","개포동","경남2차","2024 년 04 월",275000,4980.7903402854
"강남구","개포동","경남2차","2024 년 08 월",362666.666666667,6568.60592755214
"강남구","개포동","경남2차","2024 년 11 월",247000,8868.45827439887
"강남구","개포동","경남2차","2025 년 05 월",340000,6158.06805708013
"강남구","개포동","뉴현대파크빌","2024 년 09 월",74000,3495.56255367879
"강남구","개포동","대치푸르지오발라드","2024 년 05 월",143100,9079.54770497382
"강남구","개포동","대치푸르지오발라드","2024 년 07 월",139882.8,8467.16971791917
"강남구","개포동","대치푸르지오발라드","2024 년 08 월",135059.333333333,8850.58212998717
"강남구","개포동","대치푸르지오발라드","2024 년 09 월",118456,8671.9710130242
"강남구","개포동","대치푸르지오발라드","2024 년 10 월",106284,8470.64391587684
"강남구","개포동","대치푸르지오발라드","2024 년 11 월",116824,8342.50692451041
"강남구","개포동","대치푸르지오발라드","2024 년 12 월",103632,8262.87685862154
"강남구","개포동","대치푸르지오발라드","2025 년 01 월",153816,9147.06878779797
"강남구","개포동","대치푸르지오발라드","2025 년 02 월",97665,8436.44984814224
"강남구","개포동","대치푸르지오발라드","2025 년 03 월",167280,9201.05940925766
"강남구","개포동","대치푸르지오발라드","2025 년 06 월",106896,8610.98621048238
"강남구","개포동","디에이치아너힐즈","2024 년 01 월",214500,11831.9251023471
"강남구","개포동","디에이치아너힐즈","2024 년 02 월",214500,11839.052355776
"강남구","개포동","디에이치아너힐즈","2024 년 03 월",280000,10953.4478466517
"강남구","개포동","디에이치아너힐즈","2024 년 04 월",239333.333333333,11684.1515456199
"강남구","개포동","디에이치아너힐즈","2024 년 05 월",293000,12148.8364535963
"강남구","개포동","디에이치아너힐즈","2024 년 06 월",297300,12416.2818935826
"강남구","개포동","디에이치아너힐즈","2024 년 07 월",360666.666666667,12862.1678742197
"강남구","개포동","디에이치아너힐즈","2024 년 08 월",395571.428571429,13257.0202864664
